chunk_id,page_number,start_block_index,end_block_index,text,char_len,chunk_type
0,0,1.0,18.0,"Tables, Charts and Graphs
UNIT 5
TABLES, CHARTS AND GRAPHS
Structure
5.0
Objectives
5.1
Introduction
5.2
The Function of Tables, Charts and Graphs
5.3
Tables
5.4
Charts and Graphs
5.4.1
Line Graphs
5.4.2
Bar Charts
5.4.3
Flow-charts
5.5
Let Us Sum Up
5.6
Key Words
5.7
Answers to Check Your Progress
5.0
OBJECTIVES
After going through this unit, you will be able to:

describe the function of tables, charts, and graphs;

interpret and analyse the data presented in the form of tables, charts and graphs; and

apply the knowledge of these devices to communicate information more effectively.",594,text
1,0,19.0,22.0,"5.1
INTRODUCTION
We have, in the various units so far, discussed some of the skills of written communication.
In this unit, we shall discuss a method of communication, which is slightly different i.e.
communication by means of tables, charts, and graphs. These devices supplement the
information presented through words and help the reader to understand the facts and
figures more easily.
5.2
THE FUNCTION OF TABLES, CHARTS AND
GRAPHS",434,text
2,0,23.0,23.0,"a)
When you decide to use tables, charts and graphs, you should know where you can
incorporate them in your writing. Even when you are searching for information,
identify concepts and data that will lend themselves to representation through tables,
charts, etc. Pay special attention to those ideas or data which will present difficulties
to your reader. It will be a good idea to present some of these difficult ideas through
tables and charts. It is wise to use fresh illustration each time you need one. The use
of ready-made graphs or photographs will not always be so relevant to the point you
are making.",610,text
3,0,24.0,0.0,"b)
Let us now try and understand the function of tables, charts and graphs.

The use of tables, charts and graphs enables you to highlight the main points of
the information contained in the text.

It enables you to present the information more concisely. Writing on a
complicated topic can take up several pages, while the same information can be
presented in less space by a table or a chart.
75",399,text
4,1,1.0,3.0,"Writing Skills

These devices enable you to make vivid comparisons and show the relations
between facts.

They help to summarise data and ideas, and simplify and arrange complicated
details, so that the reader can easily follow them.
5.3
TABLES",246,text
5,1,4.0,4.0,"A table is a collection of figures, facts or other information arranged in columns and rows.
The readers locate the information they need by reading across a row, and up or down a
column. So when you design tables your major concern is to provide adequate spacing
between columns and rows so that your readers can find the information easily. You will
find that tables are useful for a number of things.",403,text
6,1,5.0,8.0,"
They can show a number of specific data is a brief space. If such data were presented
in the text itself, the reader would have to go through a succession of figures/
sentences occurring in the text.

Tables eliminate tedious repetition of words, phrases, and sentence patterns that can
be put at the tops of columns, or at the side of rows in the table.
Because a table displays its information in rows and columns, it can be useful for
juxtaposing data in two or more dimensions for easy comparison and contrast. Example 1,
below, tells you what is meant by a column and a row.
Example 1",592,text
7,1,9.0,22.0,"Main Types of Viral Hepatitis
Viral hepatitis type B
(Serum hepatitis)
Viral hepatitis type A
(infections hepatitis)
These viruses are present in
the blood and other body
fluids of infected people,
many of whom appear to be
in normal health. Infection is
spread sexually or by sharing
hypodermic needles. In the
past it was spread by use of
contaminated blood and blood
products.",379,text
8,1,16.0,12.0,"Virus is present in the faeces
of infected people and
transmitted to others by faecal
contamination of water and
food (e.g. through infected
people handling food). Faeces
are infective from two to three
weeks before until eight days
after the onset of jaundice.
Local epidemics can occur.
Transmission of infections
In some parts of Africa and
Asia upto 20% of the
population are carriers of one
or both viruses, often without
symptoms.
Worldwide. In some parts of
the world, where hygiene is
poor, almost everyone has
been exposed to this type of
hepatitis.
Incidence
Groups at particular risks",595,text
9,1,24.0,26.0,"Male homosexuals, people
with multiple sexual partners,
intravenous drug abusers,
health care personnel or
children born to carrier
mothers.
Travellers to areas where
hygiene standards are poor and
prevalence of the virus is high
(i.e. parts of Asia, Africa, or
South America).
A few weeks to several
months after infection.
Incubation period
There to six weeks after virus
has entered the body.
Typical acute hepatitis often
more severe than with type A
virus. Progression to chronic
hepatitis and other liver
disease may occur.
Sometimes, no illness.",552,text
